INFO:root:Metrics for image 37: {'duration': 19.542491674423218, 'gpu_utilization': 82, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 54.0, 'gpu_power_draw': 322.91, 'ondemand_cost': 0.1779072443460756, 'reserved_one_year_cost': 0.10951938042541345, 'reserved_three_year_cost': 0.0678504453996155, 'spot_cost': 0.03364022802955574, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 38: {'duration': 20.5741868019104, 'gpu_utilization': 81, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 54.0, 'gpu_power_draw': 323.98, 'ondemand_cost': 0.18729939557194714, 'reserved_one_year_cost': 0.11530117186903954, 'reserved_three_year_cost': 0.07143243356585503, 'spot_cost': 0.03541617655873299, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 39: {'duration': 19.53676438331604, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 326.52, 'ondemand_cost': 0.17785510531511572, 'reserved_one_year_cost': 0.10948728373150031, 'reserved_three_year_cost': 0.06783056056307422, 'spot_cost': 0.03363036913428041, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 40: {'duration': 20.604786157608032, 'gpu_utilization': 100, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 54.0, 'gpu_power_draw': 329.2, 'ondemand_cost': 0.1875779602064689, 'reserved_one_year_cost': 0.11547265575826168, 'reserved_three_year_cost': 0.07153867282887301, 'spot_cost': 0.03546884994963805, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 41: {'duration': 20.57593321800232, 'gpu_utilization': 92, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 54.0, 'gpu_power_draw': 314.46, 'ondemand_cost': 0.18731529426488613, 'reserved_one_year_cost': 0.11531095907588801, 'reserved_three_year_cost': 0.07143849702550306, 'spot_cost': 0.035419182819988994, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 42: {'duration': 19.555269956588745, 'gpu_utilization': 81, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 318.1, 'ondemand_cost': 0.1780235728575786, 'reserved_one_year_cost': 0.10959099204838275, 'reserved_three_year_cost': 0.06789481088538965, 'spot_cost': 0.03366222442249457, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 43: {'duration': 19.54297423362732, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 54.0, 'gpu_power_draw': 326.39, 'ondemand_cost': 0.17791163737740784, 'reserved_one_year_cost': 0.10952208476761977, 'reserved_three_year_cost': 0.0678521208183633, 'spot_cost': 0.03364105870160792, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 44: {'duration': 19.54902935028076, 'gpu_utilization': 81, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 323.78, 'ondemand_cost': 0.17796676080465318, 'reserved_one_year_cost': 0.10955601865053177, 'reserved_three_year_cost': 0.06787314384698868, 'spot_cost': 0.03365148191213608, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 45: {'duration': 19.54917573928833, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 325.79, 'ondemand_cost': 0.17796809347324904, 'reserved_one_year_cost': 0.10955683903892836, 'reserved_three_year_cost': 0.06787365210149024, 'spot_cost': 0.03365173390454716, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 46: {'duration': 19.542567253112793, 'gpu_utilization': 80, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 315.38, 'ondemand_cost': 0.17790793238507377, 'reserved_one_year_cost': 0.10951980398098628, 'reserved_three_year_cost': 0.06785070780462689, 'spot_cost': 0.03364035812987221, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 47: {'duration': 20.5961492061615, 'gpu_utilization': 100, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 54.0, 'gpu_power_draw': 326.92, 'ondemand_cost': 0.18749933275931413, 'reserved_one_year_cost': 0.11542425284286341, 'reserved_three_year_cost': 0.07150868581328128, 'spot_cost': 0.035453982397384114, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 48: {'duration': 20.59189486503601, 'gpu_utilization': 100, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 54.0, 'gpu_power_draw': 327.34, 'ondemand_cost': 0.18746060289217367, 'reserved_one_year_cost': 0.11540041080613932, 'reserved_three_year_cost': 0.07149391497724586, 'spot_cost': 0.03544665902184115, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 49: {'duration': 20.600096702575684, 'gpu_utilization': 100, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 54.0, 'gpu_power_draw': 324.78, 'ondemand_cost': 0.18753526923153138, 'reserved_one_year_cost': 0.11544637527068458, 'reserved_three_year_cost': 0.07152239130152598, 'spot_cost': 0.035460777573850424, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 50: {'duration': 20.577892303466797, 'gpu_utilization': 100, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 54.0, 'gpu_power_draw': 320.77, 'ondemand_cost': 0.18733312901708815, 'reserved_one_year_cost': 0.11532193811734517, 'reserved_three_year_cost': 0.07144529886139764, 'spot_cost': 0.03542255516793993, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
